,speaker,dialogue
Stage6_End_0,player,선배. 이제 말해주세요.
Stage6_End_1,Boss,뭘 더 바래.
Stage6_End_2,player,저를 왜 이곳으로 부르셨는지!
Stage6_End_3,Boss,아으… 취한다.
Stage6_End_4,player,선배!!!
Stage6_End_5,Boss,처음 네가 나에게 왔을 때를 기억해?
Stage6_End_6,player,…
Stage6_End_7,Boss,"너의 그 독기 가득한 눈동자엔, 시련이 섞여 있었어."
Stage6_End_8,Boss,좀 더 근본적인. 인간의 갈망과 꿈의... 그런 것들.
Stage6_End_9,Boss,나와 닮았기 때문일지도 모르겠다.
Stage6_End_10,player,김…민…승… 선… 배…
Stage6_End_11,Boss,축하한다.
Stage6_End_12,Boss,이제 여기서 널 이길 수 있는 사람은 없어.
Stage6_End_13,Boss,자만해도 좋아.
Stage6_End_14,Boss,그런 네가 더욱 너다우니깐.
Stage6_End_15,player,…앞으로
Stage6_End_16,player,나아갈 수 없다.
Stage6_End_17,player,나는 해내고야 말았다.
Stage6_End_18,player,더 이상 그 누구도. 날 술찌라 부를 일은 없을테니.
Stage6_End_19,player,(해질녘의 태양빛이 바다 넘어로 자취를 감추기 시작한다.)
Stage6_End_20,player,"(좀 더, 근본적인. 나의 소원이 실현된 순간)"
Stage6_End_21,player,(그곳에 찬란하게 빛나는 것은 나의 술병만이었다.)
